id,a1,a2,a3,a4,a5,a6,class
4,1,1,1,1,2,2,0
7,1,1,1,1,4,1,0
9,1,1,1,2,1,1,0
10,1,1,1,2,1,2,0
11,1,1,1,2,2,1,0
13,1,1,1,2,3,1,0
15,1,1,1,2,4,1,0
19,1,1,1,3,2,1,0
23,1,1,1,3,4,1,0
25,1,1,2,1,1,1,0
26,1,1,2,1,1,2,0
37,1,1,2,2,3,1,0
39,1,1,2,2,4,1,0
40,1,1,2,2,4,2,1
42,1,1,2,3,1,2,0
44,1,1,2,3,2,2,1
50,1,2,1,1,1,2,0
58,1,2,1,2,1,2,0
60,1,2,1,2,2,2,1
61,1,2,1,2,3,1,0
62,1,2,1,2,3,2,1
63,1,2,1,2,4,1,0
65,1,2,1,3,1,1,0
66,1,2,1,3,1,2,0
68,1,2,1,3,2,2,1
69,1,2,1,3,3,1,0
70,1,2,1,3,3,2,1
71,1,2,1,3,4,1,0
72,1,2,1,3,4,2,1
75,1,2,2,1,2,1,0
79,1,2,2,1,4,1,0
85,1,2,2,2,3,1,1
87,1,2,2,2,4,1,1
89,1,2,2,3,1,1,0
90,1,2,2,3,1,2,1
93,1,2,2,3,3,1,1
94,1,2,2,3,3,2,0
95,1,2,2,3,4,1,1
96,1,2,2,3,4,2,0
98,1,3,1,1,1,2,0
100,1,3,1,1,2,2,0
101,1,3,1,1,3,1,0
102,1,3,1,1,3,2,0
107,1,3,1,2,2,1,0
108,1,3,1,2,2,2,1
110,1,3,1,2,3,2,1
111,1,3,1,2,4,1,0
116,1,3,1,3,2,2,1
117,1,3,1,3,3,1,0
120,1,3,1,3,4,2,1
125,1,3,2,1,3,1,0
126,1,3,2,1,3,2,1
127,1,3,2,1,4,1,0
130,1,3,2,2,1,2,1
134,1,3,2,2,3,2,0
136,1,3,2,2,4,2,0
139,1,3,2,3,2,1,1
145,2,1,1,1,1,1,0
148,2,1,1,1,2,2,0
149,2,1,1,1,3,1,0
156,2,1,1,2,2,2,1
162,2,1,1,3,1,2,0
164,2,1,1,3,2,2,1
166,2,1,1,3,3,2,1
167,2,1,1,3,4,1,0
169,2,1,2,1,1,1,0
172,2,1,2,1,2,2,1
175,2,1,2,1,4,1,0
179,2,1,2,2,2,1,1
184,2,1,2,2,4,2,0
185,2,1,2,3,1,1,0
186,2,1,2,3,1,2,1
188,2,1,2,3,2,2,0
190,2,1,2,3,3,2,0
192,2,1,2,3,4,2,0
197,2,2,1,1,3,1,0
200,2,2,1,1,4,2,1
201,2,2,1,2,1,1,0
205,2,2,1,2,3,1,1
213,2,2,1,3,3,1,1
214,2,2,1,3,3,2,0
215,2,2,1,3,4,1,1
217,2,2,2,1,1,1,0
220,2,2,2,1,2,2,0
222,2,2,2,1,3,2,0
223,2,2,2,1,4,1,1
224,2,2,2,1,4,2,0
225,2,2,2,2,1,1,1
228,2,2,2,2,2,2,0
229,2,2,2,2,3,1,0
233,2,2,2,3,1,1,1
235,2,2,2,3,2,1,0
236,2,2,2,3,2,2,0
240,2,2,2,3,4,2,0
241,2,3,1,1,1,1,0
242,2,3,1,1,1,2,0
246,2,3,1,1,3,2,1
249,2,3,1,2,1,1,0
253,2,3,1,2,3,1,1
254,2,3,1,2,3,2,0
256,2,3,1,2,4,2,0
258,2,3,1,3,1,2,1
259,2,3,1,3,2,1,1
263,2,3,1,3,4,1,1
266,2,3,2,1,1,2,1
267,2,3,2,1,2,1,1
269,2,3,2,1,3,1,1
272,2,3,2,1,4,2,0
273,2,3,2,2,1,1,1
275,2,3,2,2,2,1,0
278,2,3,2,2,3,2,0
285,2,3,2,3,3,1,0
286,2,3,2,3,3,2,0
288,2,3,2,3,4,2,0
295,3,1,1,1,4,1,0
298,3,1,1,2,1,2,0
300,3,1,1,2,2,2,1
302,3,1,1,2,3,2,1
303,3,1,1,2,4,1,0
304,3,1,1,2,4,2,1
305,3,1,1,3,1,1,0
306,3,1,1,3,1,2,0
308,3,1,1,3,2,2,1
310,3,1,1,3,3,2,1
313,3,1,2,1,1,1,0
316,3,1,2,1,2,2,1
317,3,1,2,1,3,1,0
318,3,1,2,1,3,2,1
319,3,1,2,1,4,1,0
320,3,1,2,1,4,2,1
323,3,1,2,2,2,1,1
330,3,1,2,3,1,2,1
331,3,1,2,3,2,1,1
332,3,1,2,3,2,2,0
336,3,1,2,3,4,2,0
338,3,2,1,1,1,2,0
340,3,2,1,1,2,2,1
341,3,2,1,1,3,1,0
342,3,2,1,1,3,2,1
346,3,2,1,2,1,2,1
347,3,2,1,2,2,1,1
353,3,2,1,3,1,1,0
355,3,2,1,3,2,1,1
357,3,2,1,3,3,1,1
358,3,2,1,3,3,2,0
361,3,2,2,1,1,1,0
364,3,2,2,1,2,2,0
365,3,2,2,1,3,1,1
366,3,2,2,1,3,2,0
369,3,2,2,2,1,1,1
371,3,2,2,2,2,1,0
372,3,2,2,2,2,2,0
374,3,2,2,2,3,2,0
377,3,2,2,3,1,1,1
382,3,2,2,3,3,2,0
384,3,2,2,3,4,2,0
385,3,3,1,1,1,1,0
387,3,3,1,1,2,1,0
389,3,3,1,1,3,1,0
390,3,3,1,1,3,2,1
398,3,3,1,2,3,2,0
409,3,3,2,1,1,1,0
417,3,3,2,2,1,1,1
419,3,3,2,2,2,1,0
421,3,3,2,2,3,1,0
422,3,3,2,2,3,2,0
425,3,3,2,3,1,1,1
427,3,3,2,3,2,1,0
432,3,3,2,3,4,2,0
